#OTU ID	E.fulvus.1	E.fulvus.2	E.fulvus.3	O.hecate.1	O.hecate.2	O.hecate.3	O.taurus.MED.1	O.taurus.MED.2	O.taurus.MED.3	O.taurus.WV.1	O.taurus.WV.2	O.taurus.WV.3	taxonomy
99ec1a59015b14cb1f81794f3743ff80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiaceae; D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
38ca1e5288ca2d8a5439e84501cf7d90	0.0	146.0	426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Ruminococcaceae UCG-010
1e3ee27508129e14b5705f6cd4d416b4	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__R7C24
d3dbc62ed7396e3e6181a34f585a2f79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Chitinophagaceae; D_5__Taibaiella; D_6__uncultured bacterium
05f1114ef4734e9653574c456c4db3e8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Leuconostocaceae; D_5__Leuconostoc
95d6fbc7834de0b060cf13737833d3a2	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Cupriavidus
7c3ad1ce0fea84698882874774ee3ace	973.0	510.0	3774.0	416.0	969.0	445.0	156.0	592.0	8993.0	580.0	2409.0	2788.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Moraxellaceae; D_5__Acinetobacter; D_6__Acinetobacter lwoffii
3c13c9f164c34b5157f7cf09318136f6	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Streptococcaceae; D_5__Streptococcus
0c8065e1f63e0ba42c6705a361c6fcbe	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__Anaerosporobacter; D_6__uncultured bacterium
6c9781aca561a14b884c0efbd682a43c	0.0	379.0	0.0	0.0	0.0	3.0	0.0	0.0	80.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Clostridiaceae 1; D_5__Clostridium sensu stricto 1
